kind,product_title,sku,before_price,after_price,before_availability,after_availability
new,Plantain (Caramel) Loose Flour Setting Powder,008PLA,,1142.0,,in_stock
new,Hazelnut (Dark Brown) Bakeation | Pressed Flour Setting Powder,008P-HAZ,,1230.0,,in_stock
new,Rice (White) Bakeation | Pressed Flour Setting Powder,008P-RCE,,1230.0,,in_stock
new,Tapioca (Neutral Pink) Bakeation | Pressed Flour Setting Powder,008P-TAP,,1230.0,,in_stock
new,Cassava (Yellow) Bakeation | Pressed Flour Setting Powder,008P-YLW,,1230.0,,in_stock
new,Almond (Chestnut) Bakeation | Pressed Flour Setting Powder,008P-ALM,,1230.0,,in_stock
new,Cacao (Brown) Bakeation | Pressed Flour Setting Powder,008P-BRN,,1230.0,,in_stock
new,Rice (White) Loose Flour Setting Powder,008RCE,,1142.0,,out_of_stock
new,Almond (Chestnut) Loose Flour Setting Powder,008ALM,,1142.0,,in_stock
new,Cassava (Yellow) Loose Flour Setting Powder,008YLW,,1142.0,,in_stock
new,Cacao (Brown) Loose Flour Setting Powder,008BRN,,1142.0,,out_of_stock
